snapshot,trial,arm,coverage_category,status,number_eligible,number_selected,number_activated,eligible_pf_ids,selected_pf_ids,selected_intersect_eligible,selected_but_ineligible,eligible_not_selected,pf_order,base_action,revision_action,executed_action,score,cost,optimal,top2,score_difference
S01,1,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S01,1,B,CLEAR_SUPPORT,valid,2,1,0,evidence_collection;dependency_trace,request_id_trace,,request_id_trace,evidence_collection;dependency_trace,request_id_trace,C,,C,0.3333333333333333,4,False,False,0.0
S01,1,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;dependency_trace,,,,,evidence_collection;dependency_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S01,1,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;dependency_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S02,1,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S02,1,B,CLEAR_SUPPORT,valid,2,2,1,evidence_collection;comparison_experiment,evidence_collection;request_id_trace,evidence_collection,request_id_trace,comparison_experiment,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.25
S02,1,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;comparison_experiment,,,,,evidence_collection;comparison_experiment,C,F,F,0.2,5,False,False,-0.04999999999999999
S02,1,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;comparison_experiment,,,,,,C,C,C,0.25,4,False,True,0.0
S03,1,A,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,,A,0.0,3,False,False,0.0
S03,1,B,NO_CLEAR_SUPPORT,valid,3,1,1,evidence_collection;request_id_trace;dependency_trace,request_id_trace,request_id_trace,,evidence_collection;dependency_trace,request_id_trace,A,A,A,0.0,3,False,False,0.0
S03,1,C,NO_CLEAR_SUPPORT,valid,3,,3,evidence_collection;request_id_trace;dependency_trace,,,,,evidence_collection;request_id_trace;dependency_trace,A,A,A,0.0,3,False,False,0.0
S03,1,D,NO_CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;dependency_trace,,,,,,A,C,C,0.0,4,False,False,0.0
S04,1,A,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S04,1,B,AMBIGUOUS_SUPPORT,valid,3,2,1,request_id_trace;dependency_trace;binary_isolation,request_id_trace;evidence_collection,request_id_trace,evidence_collection,dependency_trace;binary_isolation,request_id_trace;evidence_collection,C,A,A,0.0,3,False,False,0.0
S04,1,C,AMBIGUOUS_SUPPORT,valid,3,,3,request_id_trace;dependency_trace;binary_isolation,,,,,request_id_trace;dependency_trace;binary_isolation,C,C,C,0.0,4,False,False,0.0
S04,1,D,AMBIGUOUS_SUPPORT,valid,3,,0,request_id_trace;dependency_trace;binary_isolation,,,,,,C,A,A,0.0,3,False,False,0.0
S05,1,A,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,,C,0.3333333333333333,4,False,False,0.0
S05,1,B,CLEAR_SUPPORT,valid,2,2,2,evidence_collection;request_id_trace,evidence_collection;request_id_trace,evidence_collection;request_id_trace,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,1,C,CLEAR_SUPPORT,valid,2,,2,evidence_collection;request_id_trace,,,,,evidence_collection;request_id_trace,C,A,A,0.0,3,False,False,-0.3333333333333333
S05,1,D,CLEAR_SUPPORT,valid,2,,0,evidence_collection;request_id_trace,,,,,,C,C,C,0.3333333333333333,4,False,False,0.0
S06,1,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,,C,0.25,4,False,True,0.0
S06,1,B,CLEAR_SUPPORT,valid,3,1,1,evidence_collection;comparison_experiment;dependency_trace,comparison_experiment,comparison_experiment,,evidence_collection;dependency_trace,comparison_experiment,C,F,F,0.2,5,False,False,-0.04999999999999999
S06,1,C,CLEAR_SUPPORT,valid,3,,3,evidence_collection;comparison_experiment;dependency_trace,,,,,evidence_collection;comparison_experiment;dependency_trace,C,D,D,1.0,1,True,True,0.75
S06,1,D,CLEAR_SUPPORT,valid,3,,0,evidence_collection;comparison_experiment;dependency_trace,,,,,,C,C,C,0.25,4,False,True,0.0
S07,1,A,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,,C,0.0,4,False,False,0.0
S07,1,B,AMBIGUOUS_SUPPORT,valid,2,1,0,dependency_trace;binary_isolation,request_id_trace,,request_id_trace,dependency_trace;binary_isolation,request_id_trace,C,,C,0.0,4,False,False,0.0
S07,1,C,AMBIGUOUS_SUPPORT,valid,2,,2,dependency_trace;binary_isolation,,,,,dependency_trace;binary_isolation,C,F,F,0.2,5,False,True,0.2
S07,1,D,AMBIGUOUS_SUPPORT,valid,2,,0,dependency_trace;binary_isolation,,,,,,C,C,C,0.0,4,False,False,0.0
S08,1,A,CLEAR_SUPPORT,valid,3,,0,evidence_collection;request_id_trace;comparison_experiment,,,,,,C,,C,0.25,4,False,True,0.0
S08,1,B,CLEAR_SUPPORT,valid,3,1,1,evidence_collection;request_id_trace;comparison_experiment,evidence_collection,evidence_collection,,request_id_trace;comparison_experiment,evidence_collection,C,A,A,0.0,3,False,False,-0.25
